ClinName,ClinCityCode,ClinStateCode,SART,Single,Gest,Donor,Share,IVF_Rate,GIFT_Rate,ZIFT,ICSI,Unstim,Tubal,Endo,Uterin,Ovulat,Male,Other,Unkno,FrCy30,FrCy35,FrCy40,Fr30PgCy,Fr35PgCy,Fr40PgCy,Fr30LvCy,Fr35LvCy,Fr40LvCy,FrLvCr30,FrLvCr35,FrLvCr40,FrLvRt30,FrLvRt35,FrLvRt40,FrLvTx30,FrLvTx35,FrLvTx40,FrCnCy30,FrCnCy35,FrCnCy40,FrEmTr30,FrEmTr35,FrEmTr40,FrMgPg30,FrMgPg35,FrMgPg40,FrMbLv30,FrMbLv35,FrMbLv40,CrTr30,CrTr35,CrTr40,CrLvTr30,CrLvTr35,CrLvTr40,CrEmTr30,CrEmTr35,CrEmTr40,FdTr30,FdTr35,FdTr40,FdLvTr30,FdLvTr35,FdLvTr40,CdTr30,CdTr35,CdTr40,CdLvTr30,CdLvTr35,CdLvTr40,FdCdEms30,FdCdEms35,FdCdEms40
BOSTON IVF,BROOKLINE,MASSACHUSETTS,Yes,Yes,Yes,Yes,No,88%,12%,0%,22%,1%,21%,11%,4%,13%,21%,21%,9%,"1,021",838,471,17.2,17.7,11.0,15.8,13.7,6.2,(13.5 - 18.0),(11.4 - 16.1),(4.0 - 8.3),17.2,15.5,7.3,19.6,17.1,8.2,8.3,11.2,15.5,3.1,3.6,3.7,37.5,33.1,21.2,33.5,29.6,20.7,122,122,42,22.1,17.2,2.4,2.5,2.9,2.7,26,36,54,30.8,19.4,31.5,0,0,0,,,,2.7,2.9,3.3
BLUEGRASS FERTILITY ASSOCIATES,LEXINGTON,KENTUCKY,Yes,No,No,No,No,98%,<1%,1%,20%,0%,20%,47%,1%,17%,7%,8%,0%,65,22,9,27.7,0.0,0/9,26.2,0.0,0/9,(15.5 - 36.8),,,27.9,0/19,0/8,28.8,0/18,0/8,6.2,13.6,1/9,4.2,3.6,3.1,8/18,,,8/17,,,7,2,0,1/7,0/2,,4.1,4.5,,0,0,0,,,,0,0,0,,,,,,
REPRODUCTIVE HEALTH AND FERTILITY CENTER,ROCKFORD,ILLINOIS,Yes,Yes,No,No,No,98%,<1%,1%,39%,0%,33%,21%,1%,16%,20%,8%,1%,88,58,14,25.0,10.3,0/14,20.5,8.6,0/14,(12.0 - 28.9),(1.4 - 15.8),,23.1,9.3,0/13,24.0,10.4,0/10,11.4,6.9,1/14,3.4,3.2,2.7,31.8,3/6,,6/18,3/5,,18,10,1,1/18,0/10,0/1,2.9,2.6,2.0,0,0,0,,,,0,0,0,,,,,,
REPRODUCTIVE BIOLOGY ASSOCIATES,ATLANTA,GEORGIA,Yes,Yes,Yes,Yes,Yes,99%,<1%,0%,43%,0%,18%,18%,7%,23%,19%,14%,1%,416,326,134,37.3,30.7,12.7,31.7,24.8,6.7,(27.3 - 36.2),(20.2 - 29.5),(2.5 - 11.0),36.0,32.4,10.2,37.7,34.0,11.0,11.8,23.3,34.3,3.5,3.5,3.4,49.0,24.0,0/17,51.5,27.2,0/9,141,107,28,25.5,17.8,10.7,3.3,3.4,3.4,7,19,43,3/7,5/19,41.9,3,12,14,0/3,2/12,2/14,2.9,2.8,3.1
ARNOLD PALMER HOSPITAL,ORLANDO,FLORIDA,Yes,Yes,Yes,Yes,Yes,99%,<1%,<1%,33%,0%,35%,7%,4%,19%,18%,13%,4%,63,58,32,39.7,29.3,3.1,36.5,22.4,3.1,(24.6 - 48.4),(11.7 - 33.1),(0.0 - 9.2),42.6,28.9,1/17,47.9,32.5,1/16,14.3,22.4,46.9,3.5,3.9,3.3,40.0,7/17,0/1,43.5,5/13,0/1,6,7,6,0/6,1/7,1/6,3.7,3.1,3.2,1,3,2,1/1,1/3,0/2,0,0,0,,,,4.0,3.3,3.5
UNIVERSITY OF CALIFORNIA SAN FRANCISCO,SAN FRANCISCO,CALIFORNIA,Yes,Yes,No,Yes,No,99%,<1%,<1%,44%,0%,22%,11%,0%,4%,38%,11%,14%,89,150,67,28.1,17.3,16.4,23.6,10.7,14.9,(14.8 - 32.4),(5.7 - 15.6),(6.4 - 23.5),29.2,14.2,17.9,35.6,15.8,20.0,19.1,24.7,16.4,2.8,3.1,4.1,48.0,15.4,3/11,47.6,1/16,2/10,32,53,23,28.1,24.5,13.0,3.2,3.1,3.8,2,2,16,2/2,2/2,9/16,0,0,6,,,2/6,2.5,3.5,2.3
PACIFIC GYNECOLOGY SPECIALISTS,SEATTLE,WASHINGTON,Yes,Yes,Yes,Yes,No,96%,3%,1%,25%,1%,31%,7%,4%,13%,25%,11%,9%,73,62,38,16.4,14.5,0.0,15.1,11.3,0.0,(6.9 - 23.3),(3.4 - 19.2),,20.4,16.7,0.0,22.4,17.1,0/18,26.0,32.3,44.7,3.4,3.9,3.5,3/12,2/9,,2/11,1/7,,41,22,12,34.1,0.0,0/12,3.2,3.4,3.3,0,1,5,,1/1,1/5,0,0,18,,,4/18,,3.0,3.2
THE FERTILITY CENTER AT SAINT CLAIR HOSPITAL,PITTSBURGH,PENNSYLVANIA,Yes,Yes,No,Yes,No,86%,<1%,13%,19%,0%,20%,40%,0%,22%,16%,2%,0%,15,10,12,4/15,4/10,0/12,3/15,2/10,0/12,,,,3/15,2/9,0/8,3/15,2/8,0/7,0/15,1/10,4/12,4.8,4.3,4.3,2/4,1/4,,1/3,1/2,,1,4,0,1/1,0/4,,5.0,3.3,,1,0,0,1/1,,,0,0,0,,,,4.0,,
FAULKNER CENTER FOR REPRODUCTIVE MEDICINE,BOSTON,MASSACHUSETTS,Yes,No,Yes,Yes,Yes,100%,0%,0%,38%,0%,19%,21%,3%,18%,21%,8%,10%,54,30,35,11.1,3.3,0.0,11.1,3.3,0.0,(2.7 - 19.5),(0.0 - 9.8),,13.6,5.0,0.0,14.3,1/19,0/16,18.5,33.3,40.0,3.1,3.2,3.0,2/6,0/1,,2/6,0/1,,5,4,3,0/5,1/4,1/3,3.2,3.5,3.0,4,6,17,0/4,0/6,4/17,1,0,1,0/1,,0/1,3.8,3.0,2.8
NORTHERN FERTILITY AND REPRODUCTIVE ASSOCIATES,MEADOWBROOK,PENNSYLVANIA,Yes,Yes,Yes,Yes,No,93%,6%,<1%,12%,0%,2%,0%,0%,95%,1%,1%,1%,143,110,33,35.0,36.4,21.2,32.2,31.8,12.1,(24.5 - 39.8),(23.1 - 40.5),(1.0 - 23.3),32.9,34.0,12.5,34.8,35.4,13.3,2.1,6.4,3.0,4.7,4.2,3.6,42.0,40.0,1/7,43.5,37.1,1/4,56,42,4,14.3,23.8,1/4,3.9,3.6,4.8,0,1,3,,1/1,0/3,0,1,1,,1/1,1/1,,2.5,4.3
CENTER FOR ADVANCED REPRODUCTION,PARK RIDGE,ILLINOIS,Yes,Yes,No,Yes,No,99%,<1%,<1%,54%,0%,23%,17%,2%,32%,20%,2%,4%,168,119,20,35.7,22.7,10.0,34.5,17.6,5.0,(27.3 - 41.7),(10.8 - 24.5),(0.0 - 14.6),36.0,19.3,1/17,38.4,20.6,1/13,4.2,8.4,15.0,4.0,3.5,3.9,51.7,22.2,0/2,48.3,28.6,0/1,63,36,6,19.0,25.0,0/6,4.2,4.2,3.8,2,5,11,0/2,4/5,3/11,7,4,13,1/7,2/4,5/13,4.2,3.7,4.0
TOLL CENTER FOR REPRODUCTIVE SCIENCES,ABINGTON,PENNSYLVANIA,Yes,Yes,Yes,Yes,No,93%,6%,<1%,12%,0%,2%,0%,0%,95%,1%,1%,1%,143,110,33,35.0,36.4,21.2,32.2,31.8,12.1,(24.5 - 39.8),(23.1 - 40.5),(1.0 - 23.3),32.9,34.0,12.5,34.8,35.4,13.3,2.1,6.4,3.0,4.7,4.2,3.6,42.0,40.0,1/7,43.5,37.1,1/4,56,42,4,14.3,23.8,1/4,3.9,3.6,4.8,0,1,3,,1/1,0/3,0,1,1,,1/1,1/1,,2.5,4.3
