PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,SART,Single,Gest,Donor,Share,IVF_Rate,GIFT_Rate,ZIFT,Combos,ICSI,Unstim,Tubal,Endo,Uterin,Ovulat,Male,Other,Unkno,FrCy30,FrCy35,FrCy40,FrCy45,Fr30PgCy,Fr35PgCy,Fr40PgCy,Fr45PgCy,Fr30LvCy,Fr35LvCy,Fr40LvCy,Fr45LvCy,FrLvCr30,FrLvCr35,FrLvCr40,FrLvCr45,FrLvRt30,FrLvRt35,FrLvRt40,FrLvRt45,FrLvTx30,FrLvTx35,FrLvTx40,FrLvTx45,FrCnCy30,FrCnCy35,FrCnCy40,FrCnCy45,FrEmTr30,FrEmTr35,FrEmTr40,FrEmTr45,FrTwGst30,FrTwGst35,FrTwGst40,FrTwGst45,FrTpGst30,FrTpGst35,FrTpGst40,FrTpGst45,FrMbLv30,FrMbLv35,FrMbLv40,FrMbLv45,CrTr30,CrTr35,CrTr40,CrTr45,CrLvTr30,CrLvTr35,CrLvTr40,CrLvTr45,CrEmTr30,CrEmTr35,CrEmTr40,CrEmTr45,FdTr30,FdTr35,FdTr40,FdTr45,FdLvTr30,FdLvTr35,FdLvTr40,FdLvTr45,CdTr30,CdTr35,CdTr40,CdTr45,CdLvTr30,CdLvTr35,CdLvTr40,CdLvTr45,FdCdEmTr30,FdCdEmTr35,FdCdEmTr40,FdCdEmTr45
NORTHRIDGE CENTER FOR REPRODUCTIVE MEDICINE,NORTHRIDGE,NORTHRIDGE,CALIFORNIA,Yes,Yes,Yes,Yes,Yes,98%,0%,0%,2%,45%,6%,11%,24%,0%,27%,24%,0%,14%,27,7,12,5,33.3,3/7,0/12,0/5,29.6,3/7,0/12,0/5,(12.4 - 46.9),,,,30.8,3/7,0/7,,33.3,3/7,0/7,,3.7,0/7,5/12,5/5,4.9,5.3,2.3,,2/9,0/3,,,1/9,0/3,,,3/8,0/3,,,0,1,0,0,,0/1,,,,5.0,,,0,1,3,5,,0/1,2/3,2/5,0,0,0,0,,,,,,4.0,3.7,3.6
"SUSAN P. WILLMAN, M.D.",ORINDA,ORINDA,CALIFORNIA,Yes,Yes,Yes,Yes,No,98%,0%,0%,2%,45%,0%,16%,7%,0%,26%,8%,22%,21%,13,15,13,14,1/13,7/15,5/13,4/14,1/13,6/15,3/13,2/14,,,,,1/13,6/15,3/11,2/9,1/12,6/15,3/11,2/8,0/13,0/15,2/13,5/14,4.2,5.6,5.7,5.1,0/1,1/7,0/5,1/4,1/1,0/7,1/5,1/4,1/1,1/6,1/3,2/2,7,2,2,0,0/7,0/2,0/2,,3.9,4.0,3.5,,0,0,0,10,,,,3/10,0,0,2,4,,,0/2,0/4,,,4.5,4.8
UNIVERSITY OF TEXAS WOMEN'S HEATH CENTER,HOUSTON,HOUSTON,TEXAS,No,No,No,No,No,100%,0%,0%,0%,0%,0%,23%,0%,15%,15%,31%,16%,0%,7,2,2,0,0/7,2/2,0/2,,0/7,1/2,0/2,,,,,,0/7,1/2,0/2,,0/7,1/2,0/2,,0/7,0/2,0/2,,4.0,4.0,4.0,,,0/2,,,,0/2,,,,0/1,,,0,1,0,0,,0/1,,,,4.0,,,0,1,0,0,,0/1,,,0,0,0,0,,,,,,5.0,,
WILFORD HALL MEDICAL CENTER,LACKLAND AIR FORCE BASE,LACKLAND AIR FORCE BASE,TEXAS,Yes,No,No,No,No,100%,0%,0%,0%,20%,0%,63%,4%,0%,24%,0%,0%,9%,40,24,11,0,52.5,37.5,4/11,,47.5,29.2,3/11,,(32.0 - 63.0),(11.0 - 47.4),,,54.3,7/18,3/9,,54.3,7/18,3/9,,12.5,25.0,2/11,,3.0,3.2,3.8,,28.6,2/9,2/4,,9.5,0/9,0/4,,8/19,2/7,1/3,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
THE CENTER FOR REPRODUCTIVE MEDICINE,LUBBOCK,LUBBOCK,TEXAS,Yes,Yes,Yes,Yes,No,100%,0%,0%,0%,24%,0%,27%,35%,0%,13%,13%,11%,1%,45,13,9,1,37.8,5/13,2/9,1/1,33.3,5/13,2/9,1/1,(19.6 - 47.1),,,,33.3,5/11,2/9,1/1,34.1,5/11,2/8,1/1,0.0,2/13,0/9,0/1,3.0,3.0,2.6,1.0,3/17,2/5,0/2,0/1,4/17,0/5,0/2,0/1,6/15,1/5,0/2,0/1,7,0,0,0,0/7,,,,2.3,,,,1,0,1,1,0/1,,1/1,1/1,2,2,0,1,0/2,0/2,,0/1,3.0,2.0,3.0,3.0
TEXAS TECH UNIVERSITY HEALTH SCIENCES CENTER - IVF PROGRAM,LUBBOCK,LUBBOCK,TEXAS,Yes,Yes,No,No,No,100%,0%,0%,0%,36%,0%,20%,18%,2%,21%,21%,18%,0%,28,6,8,2,28.6,1/6,0/8,0/2,28.6,1/6,0/8,0/2,(11.8 - 45.3),,,,28.6,1/6,0/8,0/2,28.6,1/6,0/8,0/2,0.0,0/6,0/8,0/2,3.7,3.8,4.1,3.5,2/8,1/1,,,1/8,0/1,,,3/8,1/1,,,4,3,3,0,0/4,0/3,0/3,,3.0,4.7,3.7,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
FERTILITY CENTER OF SAN ANTONIO,SAN ANTONIO,SAN ANTONIO,TEXAS,Yes,Yes,Yes,Yes,No,99%,0%,0%,1%,28%,0%,29%,4%,1%,28%,18%,11%,10%,69,43,28,12,47.8,44.2,35.7,3/12,40.6,32.6,25.0,2/12,(29.0 - 52.2),(18.6 - 46.6),(9.0 - 41.0),,44.4,37.8,7/19,2/4,44.4,37.8,7/19,2/4,8.7,14.0,32.1,8/12,3.0,3.3,3.7,2.8,30.3,5/19,3/10,0/3,9.1,1/19,1/10,0/3,32.1,5/14,4/7,0/2,21,10,3,2,28.6,1/10,1/3,0/2,3.5,3.1,2.7,3.5,0,0,0,1,,,,1/1,0,0,1,2,,,1/1,0/2,,,3.0,3.7
SOUTH TEXAS FERTILITY CENTER,SAN ANTONIO,SAN ANTONIO,TEXAS,Yes,Yes,No,Yes,Yes,100%,0%,0%,0%,10%,0%,17%,24%,2%,9%,33%,8%,7%,31,28,15,15,32.3,25.0,2/15,0/15,32.3,21.4,2/15,0/15,(15.8 - 48.7),(6.2 - 36.6),,,38.5,28.6,2/13,0/9,38.5,30.0,2/12,0/9,16.1,25.0,2/15,6/15,3.1,3.4,3.7,2.7,5/10,3/7,0/2,,2/10,2/7,0/2,,7/10,4/6,0/2,,18,7,8,4,3/18,0/7,3/8,0/4,3.2,2.9,3.8,2.5,3,1,4,12,2/3,1/1,1/4,5/12,0,0,0,7,,,,1/7,4.0,3.0,3.8,3.4
THE CENTER OF REPRODUCTIVE MEDICINE,WEBSTER,WEBSTER,TEXAS,Yes,No,No,No,No,100%,0%,0%,0%,47%,0%,24%,14%,0%,27%,20%,15%,0%,49,26,18,3,24.5,38.5,3/18,0/3,18.4,34.6,2/18,0/3,(7.5 - 29.2),(16.3 - 52.9),,,25.0,39.1,2/12,0/2,25.0,39.1,2/12,0/2,26.5,11.5,6/18,1/3,4.3,4.0,3.1,4.0,2/12,7/10,2/3,,1/12,0/10,0/3,,3/9,5/9,2/2,,1,3,2,0,0/1,0/3,0/2,,5.0,2.7,5.5,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
UTAH CENTER FOR REPRODUCTIVE MEDICINE,SALT LAKE CITY,SALT LAKE CITY,UTAH,Yes,No,No,Yes,No,96%,3%,0%,1%,33%,0%,30%,17%,0%,26%,15%,5%,8%,109,33,43,17,43.1,33.3,25.6,2/17,39.4,33.3,18.6,1/17,(30.3 - 48.6),(17.2 - 49.4),(7.0 - 30.2),,47.3,39.3,23.5,1/14,47.3,40.7,25.0,1/14,16.5,15.2,20.9,3/17,3.1,3.1,3.1,3.6,36.2,2/11,3/11,2/2,14.9,1/11,1/11,0/2,46.5,2/11,4/8,1/1,0,2,1,0,,0/2,0/1,,,3.5,4.0,,0,2,1,17,,0/2,0/1,10/17,0,1,0,1,,0/1,,1/1,,4.0,12.0,3.2
THE FERTILITY AND REPRODUCTIVE HEALTH CENTER,ANNANDALE,ANNANDALE,VIRGINIA,Yes,No,No,Yes,No,99%,0%,0%,1%,43%,0%,23%,12%,0%,32%,9%,1%,23%,29,31,16,10,41.4,9.7,5/16,1/10,37.9,9.7,3/16,1/10,(20.3 - 55.6),(0.0 - 20.1),,,37.9,9.7,3/16,1/10,40.7,10.7,3/15,1/10,0.0,0.0,0/16,0/10,5.0,4.9,4.5,4.7,3/12,0/3,3/5,0/1,3/12,0/3,0/5,0/1,5/11,0/3,2/3,0/1,6,3,1,0,1/6,0/3,0/1,,5.0,5.7,2.0,,2,1,1,2,1/2,0/1,1/1,1/2,0,0,0,0,,,,,4.0,5.0,5.0,4.5
DOMINION FERTILITY AND ENDOCRINOLOGY,ARLINGTON,ARLINGTON,VIRGINIA,Yes,Yes,No,Yes,No,98%,2%,0%,0%,14%,0%,27%,16%,2%,13%,11%,23%,8%,61,29,19,6,23.0,20.7,2/19,0/6,23.0,17.2,0/19,0/6,(12.4 - 33.5),(3.5 - 31.0),,,24.6,19.2,0/16,0/4,25.5,19.2,0/16,0/4,6.6,10.3,3/19,2/6,3.9,3.8,3.8,2.8,7/14,4/6,0/2,,3/14,1/6,0/2,,9/14,3/5,,,9,3,2,2,0/9,1/3,0/2,0/2,4.3,4.7,4.0,5.5,1,2,3,5,0/1,1/2,0/3,1/5,0,0,1,2,,,0/1,1/2,3.0,4.5,4.0,4.0
JONES INSTITUTE FOR REPRODUCTIVE MEDICINE,NORFOLK,NORFOLK,VIRGINIA,Yes,Yes,No,Yes,Yes,>99%,0%,<1%,0%,44%,0%,20%,13%,1%,24%,10%,26%,6%,114,78,55,29,36.0,32.1,27.3,24.1,24.6,24.4,16.4,6.9,(16.7 - 32.5),(14.8 - 33.9),(6.6 - 26.1),(0.0 - 16.1),25.7,26.0,17.0,8.0,27.7,27.5,18.4,8.3,4.4,6.4,3.6,13.8,3.7,4.0,4.2,5.2,39.0,28.0,2/15,2/7,4.9,8.0,0/15,0/7,53.6,5/19,2/9,1/2,55,20,10,3,18.2,5.0,1/10,0/3,3.6,3.3,3.7,4.0,9,15,20,53,5/9,2/15,30.0,34.0,4,6,10,31,2/4,0/6,1/10,12.9,3.6,3.2,3.4,3.6
FERTILITY INSTITUTE OF VIRGINIA,RICHMOND,RICHMOND,VIRGINIA,Yes,Yes,Yes,Yes,No,100%,0%,0%,0%,41%,0%,33%,22%,<1%,30%,6%,0%,9%,102,41,20,8,40.2,43.9,35.0,1/8,37.3,31.7,30.0,1/8,(27.9 - 46.6),(17.5 - 46.0),(9.9 - 50.1),,40.4,33.3,6/17,1/7,41.3,34.2,6/17,1/7,7.8,4.9,15.0,1/8,4.5,4.3,4.1,4.0,36.6,5/18,2/7,0/1,12.2,2/18,1/7,0/1,47.4,7/13,1/6,0/1,16,7,2,0,3/16,2/7,0/2,,3.8,4.6,4.0,,3,1,0,0,2/3,1/1,,,0,0,0,2,,,,0/2,4.3,7.0,,3.5
LIFESOURCE FERTILITY CENTER,RICHMOND,RICHMOND,VIRGINIA,Yes,Yes,No,No,No,98%,2%,0%,0%,31%,2%,38%,11%,5%,17%,14%,3%,12%,31,9,14,0,38.7,4/9,6/14,,38.7,3/9,4/14,,(21.6 - 55.9),,,,44.4,3/6,4/12,,44.4,3/6,4/12,,12.9,3/9,2/14,,4.5,4.7,4.3,,4/12,1/4,3/6,,6/12,0/4,0/6,,8/12,1/3,2/4,,7,3,0,0,0/7,2/3,,,3.0,2.7,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
MEDICAL COLLEGE OF VIRGINIA,RICHMOND,RICHMOND,VIRGINIA,Yes,Yes,No,Yes,No,96%,0%,4%,0%,52%,0%,33%,17%,2%,43%,5%,0%,0%,6,5,8,4,3/6,3/5,1/8,0/4,2/6,2/5,1/8,0/4,,,,,2/6,2/5,1/8,0/2,2/6,2/5,1/8,0/2,0/6,0/5,0/8,2/4,4.5,3.6,5.3,6.0,1/3,2/3,0/1,,0/3,0/3,0/1,,1/2,1/2,0/1,,2,7,3,4,0/2,1/7,0/3,0/4,4.0,3.9,3.7,4.8,0,0,0,1,,,,0/1,0,0,0,0,,,,,,,,5.0
RICHMOND CENTER FOR FERTILITY AND ENDOCRINOLOGY,RICHMOND,RICHMOND,VIRGINIA,Yes,Yes,Yes,Yes,No,96%,0%,4%,0%,22%,0%,46%,15%,6%,14%,8%,11%,0%,33,17,12,7,24.2,4/17,2/12,1/7,9.1,2/17,2/12,1/7,(0.0 - 18.9),,,,10.7,2/15,2/10,1/4,10.7,2/15,2/10,1/4,15.2,2/17,2/12,3/7,4.3,3.7,3.7,2.3,4/8,1/4,0/2,0/1,0/8,1/4,0/2,0/1,1/3,1/2,0/2,0/1,8,4,2,0,1/8,0/4,1/2,,4.1,2.8,3.5,,0,0,0,1,,,,0/1,0,0,0,0,,,,,,,,5.0
THE NEW HOPE CENTER FOR REPRODUCTIVE MEDICINE,VIRGINIA BEACH,VIRGINIA BEACH,VIRGINIA,Yes,Yes,Yes,Yes,Yes,100%,0%,0%,0%,31%,0%,25%,32%,19%,9%,4%,2%,9%,10,7,9,3,1/10,2/7,0/9,0/3,1/10,1/7,0/9,0/3,,,,,1/10,1/6,0/3,0/2,1/7,1/5,0/1,0/2,0/10,1/7,6/9,1/3,2.4,4.0,6.0,6.0,0/1,0/2,,,0/1,0/2,,,0/1,0/1,,,2,2,2,0,1/2,0/2,0/2,,3.0,4.0,3.5,,1,2,1,6,0/1,0/2,1/1,0/6,1,1,0,4,0/1,1/1,,1/4,4.0,3.7,5.0,2.9
WASHINGTON CENTER FOR REPRODUCTIVE MEDICINE,BELLEVUE,BELLEVUE,WASHINGTON,Yes,Yes,No,Yes,No,100%,0%,0%,0%,21%,0%,55%,4%,4%,17%,11%,4%,4%,19,8,10,1,4/19,6/8,0/10,0/1,2/19,5/8,0/10,0/1,,,,,2/18,5/8,0/8,0/1,2/17,5/8,0/6,0/1,1/19,0/8,2/10,0/1,4.1,3.8,4.2,5.0,0/4,0/6,,,0/4,1/6,,,0/2,1/5,,,4,2,0,0,0/4,1/2,,,3.8,3.5,,,0,0,1,2,,,0/1,0/2,0,0,0,0,,,,,,,3.0,4.0
BELLINGHAM IVF,BELLINGHAM,BELLINGHAM,WASHINGTON,No,Yes,No,Yes,No,100%,0%,0%,0%,0%,0%,27%,8%,0%,48%,14%,3%,0%,22,14,11,9,36.4,5/14,5/11,1/9,36.4,5/14,3/11,1/9,(16.3 - 56.5),,,,36.4,5/14,3/11,1/9,8/19,5/12,3/10,1/7,0.0,0/14,0/11,0/9,3.8,3.4,3.4,3.4,3/8,2/5,1/5,0/1,0/8,0/5,1/5,0/1,3/8,2/5,2/3,0/1,1,1,0,0,0/1,0/1,,,4.0,4.0,,,0,0,0,2,,,,0/2,0,0,0,2,,,,0/2,,,,3.5
PACIFIC GYNECOLOGY SPECIALISTS,SEATTLE,SEATTLE,WASHINGTON,Yes,Yes,Yes,Yes,No,97%,1%,2%,0%,24%,<1%,24%,4%,1%,26%,24%,9%,12%,97,56,51,28,11.3,14.3,5.9,3.6,6.2,10.7,5.9,3.6,(1.4 - 11.0),(2.6 - 18.8),(0.0 - 12.3),(0.0 - 10.4),8.3,15.8,11.1,1/14,9.0,17.1,12.0,1/11,25.8,32.1,47.1,50.0,3.6,4.1,3.8,4.0,2/11,2/8,1/3,0/1,1/11,0/8,1/3,0/1,2/6,0/6,0/3,0/1,61,19,12,11,21.3,6/19,4/12,0/11,3.2,3.4,2.8,3.1,0,1,1,7,,0/1,0/1,4/7,0,1,2,23,,1/1,0/2,13.0,,3.5,4.0,3.4
VIRGINIA MASON CENTER FOR FERTILITY AND REPRODUCTIVE ENDOCRINOLOGY,SEATTLE,SEATTLE,WASHINGTON,Yes,Yes,No,Yes,No,98%,2%,0%,0%,46%,0%,27%,9%,2%,33%,10%,2%,17%,74,47,43,24,31.1,25.5,23.3,16.7,27.0,17.0,11.6,8.3,(16.9 - 37.1),(6.3 - 27.8),(2.0 - 21.2),(0.0 - 19.4),33.3,21.1,16.1,2/14,34.5,21.1,16.1,2/13,18.9,19.1,27.9,41.7,3.9,3.9,4.6,4.8,26.1,2/12,1/10,0/4,8.7,0/12,1/10,1/4,35.0,0/8,1/5,1/2,3,10,2,2,0/3,3/10,0/2,1/2,4.3,4.4,3.5,6.0,0,7,8,25,,2/7,2/8,36.0,0,1,0,5,,0/1,,2/5,,4.3,3.8,4.3
"GYFT CLINIC, P.L.L.C.",TACOMA,TACOMA,WASHINGTON,Yes,Yes,Yes,Yes,Yes,94%,4%,0%,2%,23%,0%,40%,12%,3%,18%,18%,2%,7%,29,11,7,5,31.0,3/11,2/7,2/5,24.1,2/11,2/7,2/5,(8.6 - 39.7),,,,25.0,2/11,2/7,2/5,25.9,2/11,2/7,2/4,3.4,0/11,0/7,0/5,4.6,5.5,5.3,5.3,3/9,1/3,0/2,0/2,0/9,1/3,1/2,0/2,3/7,2/2,1/2,0/2,0,0,0,0,,,,,,,,,0,0,1,4,,,0/1,1/4,0,0,0,0,,,,,,,4.0,5.3
GUNDERSEN/LUTHERAN MEDICAL CENTER,LACROSSE,LACROSSE,WISCONSIN,Yes,Yes,No,No,No,76%,24%,0%,0%,0%,0%,48%,21%,2%,3%,20%,6%,0%,56,20,5,5,21.4,35.0,2/5,1/5,16.1,35.0,2/5,1/5,(6.5 - 25.7),(14.1 - 55.9),,,19.6,7/19,2/4,1/3,20.9,7/18,2/4,1/3,17.9,5.0,1/5,2/5,3.3,3.4,4.3,4.0,4/12,1/7,1/2,0/1,2/12,1/7,0/2,0/1,5/9,1/7,1/2,0/1,0,0,0,0,,,,,,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
REPRODUCTIVE SPECIALTY CENTER,MILWAUKEE,MILWAUKEE,WISCONSIN,Yes,Yes,Yes,Yes,No,77%,23%,0%,0%,0%,0%,42%,11%,1%,15%,24%,3%,5%,32,15,13,6,34.4,8/15,0/13,1/6,25.0,3/15,0/13,1/6,(10.0 - 40.0),,,,26.7,3/15,0/8,1/5,26.7,3/15,0/8,1/5,6.3,0/15,5/13,1/6,4.0,4.0,5.5,5.6,2/11,1/8,,0/1,4/11,0/8,,0/1,5/8,1/3,,0/1,23,4,1,0,8.7,1/4,0/1,,3.9,3.8,2.0,,0,0,0,0,,,,,0,0,0,1,,,,0/1,,,,3.0
WOMENCARE,WAUKESHA,WAUKESHA,WISCONSIN,Yes,No,No,No,No,92%,3%,5%,0%,37%,0%,26%,38%,0%,17%,3%,13%,3%,22,5,6,5,27.3,0/5,1/6,1/5,27.3,0/5,0/6,1/5,(8.7 - 45.9),,,,28.6,0/4,0/5,1/5,6/17,0/4,0/4,1/5,4.5,1/5,1/6,0/5,2.9,2.8,1.8,3.0,3/6,,0/1,0/1,1/6,,0/1,0/1,3/6,,,0/1,18,4,6,1,7/18,2/4,2/6,0/1,2.9,3.3,3.2,4.0,0,0,0,0,,,,,2,0,0,0,0/2,,,,2.0,,,
"WOMEN'S HEALTH CARE, S.C.",WAUKESHA,WAUKESHA,WISCONSIN,Yes,Yes,No,No,No,96%,4%,0%,0%,17%,0%,43%,21%,2%,12%,20%,2%,0%,12,3,2,6,3/12,0/3,0/2,0/6,2/12,0/3,0/2,0/6,,,,,2/10,0/3,0/1,0/4,2/9,0/2,0/1,0/3,2/12,0/3,1/2,2/6,3.6,3.5,2.0,1.7,1/3,,,,0/3,,,,1/2,,,,7,6,8,2,2/7,2/6,1/8,1/2,2.4,2.8,2.8,3.0,0,0,0,0,,,,,0,0,0,0,,,,,,,,
"CLINIC OF OBSTETRICS & GYNECOLOGY, LTD.",WEST ALLIS,WEST ALLIS,WISCONSIN,Yes,No,No,No,No,100%,0%,0%,0%,18%,0%,29%,23%,0%,19%,16%,0%,13%,11,3,3,0,2/11,0/3,1/3,,1/11,0/3,1/3,,,,,,1/11,0/3,1/2,,1/8,0/3,1/2,,0/11,0/3,1/3,,3.0,2.7,4.0,,2/2,,1/1,,0/2,,0/1,,1/1,,1/1,,7,4,2,0,4/7,3/4,0/2,,3.6,3.3,3.5,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
MEDICAL COLLEGE OF GEORGIA,AUGUSTA,AUGUSTA,GEORGIA,Yes,No,No,No,No,100%,0%,0%,0%,5%,0%,58%,16%,0%,13%,13%,0%,0%,33,13,4,5,18.2,1/13,0/4,0/5,15.2,1/13,0/4,0/5,(2.9 - 27.4),,,,22.7,1/10,0/3,0/3,5/17,1/8,0/2,0/3,33.3,3/13,1/4,2/5,4.1,4.1,4.0,2.7,1/6,1/1,,,1/6,0/1,,,2/5,1/1,,,5,1,1,0,0/5,0/1,0/1,,4.0,6.0,2.0,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
PACIFIC IVF INSTITUTE,HONOLULU,HONOLULU,HAWAII,Yes,No,No,Yes,No,100%,0%,0%,0%,28%,0%,28%,30%,<1%,28%,7%,3%,4%,61,39,55,46,41.0,28.2,21.8,8.7,39.3,23.1,18.2,8.7,(27.1 - 51.6),(9.9 - 36.3),(8.0 - 28.4),(0.6 - 16.8),46.2,23.7,24.4,14.3,46.2,25.0,26.3,15.4,14.8,2.6,25.5,39.1,4.6,4.8,4.7,4.7,44.0,4/11,2/12,2/4,12.0,2/11,3/12,0/4,50.0,6/9,4/10,1/4,12,15,7,5,4/12,4/15,4/7,3/5,3.7,4.5,4.7,4.2,1,0,1,2,1/1,,0/1,0/2,0,0,1,6,,,0/1,0/6,4.0,,3.5,3.8
TRIPLER ARMY MEDICAL CENTER,TRIPLER AMC,TRIPLER AMC,HAWAII,Yes,No,No,No,No,100%,0%,0%,0%,29%,0%,57%,9%,0%,14%,9%,2%,9%,31,6,13,1,61.3,4/6,8/13,0/1,48.4,2/6,7/13,0/1,(30.8 - 66.0),,,,50.0,2/6,7/12,0/1,51.7,2/6,7/11,0/1,3.2,0/6,1/13,0/1,4.0,4.0,4.4,2.0,4/19,1/4,1/8,,1/19,0/4,2/8,,5/15,0/2,1/7,,2,3,0,0,1/2,1/3,,,4.0,5.0,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
CENTER FOR ADVANCED REPRODUCTIVE CARE,IOWA CITY,IOWA CITY,IOWA,Yes,No,No,Yes,No,88%,0%,11%,<1%,46%,<1%,31%,7%,<1%,33%,9%,9%,11%,154,46,33,24,40.3,37.0,21.2,16.7,34.4,34.8,15.2,16.7,(26.9 - 41.9),(21.0 - 48.5),(2.9 - 27.4),(1.8 - 31.6),36.3,42.1,18.5,4/17,37.9,45.7,20.0,4/15,5.2,17.4,18.2,29.2,3.1,3.6,3.3,3.1,21.0,2/17,0/7,2/4,9.7,2/17,2/7,0/4,34.0,2/16,2/5,2/4,74,28,13,3,25.7,25.0,2/13,0/3,3.0,3.4,3.5,4.3,1,1,1,6,1/1,0/1,1/1,2/6,2,0,4,16,1/2,,1/4,3/16,3.0,3.0,2.8,3.4
"MID-IOWA FERTILITY, P.C.",WEST DES MOINES,WEST DES MOINES,IOWA,Yes,Yes,Yes,Yes,No,98%,1%,1%,0%,33%,0%,37%,16%,4%,22%,1%,8%,12%,54,15,13,2,16.7,3/15,1/13,1/2,14.8,3/15,1/13,1/2,(5.3 - 24.3),,,,16.0,3/13,1/9,1/1,18.2,3/11,1/9,1/1,7.4,2/15,4/13,1/2,3.6,3.7,3.6,4.0,5/9,0/3,0/1,1/1,0/9,0/3,0/1,0/1,4/8,0/3,0/1,0/1,18,1,1,0,1/18,0/1,0/1,,3.6,4.0,2.0,,2,0,1,3,0/2,,1/1,0/3,0,0,0,3,,,,1/3,4.5,,4.0,3.5
RUSH-COPLEY CENTER FOR REPRODUCTIVE HEALTH,AURORA,AURORA,ILLINOIS,Yes,No,No,No,No,100%,0%,0%,0%,21%,0%,22%,20%,0%,28%,30%,0%,0%,16,12,8,3,3/16,2/12,0/8,0/3,2/16,2/12,0/8,0/3,,,,,2/12,2/11,0/5,0/2,2/11,2/9,0/4,,4/16,1/12,3/8,1/3,3.6,4.1,2.0,,0/3,1/2,,,0/3,0/2,,,0/2,1/2,,,1,0,0,0,0/1,,,,5.0,,,,0,0,0,0,,,,,0,0,0,0,,,,,,,,
"IVF ILLINOIS, INC.",CHICAGO,CHICAGO,ILLINOIS,Yes,Yes,Yes,Yes,No,>99%,0%,<1%,0%,40%,0%,30%,8%,2%,21%,23%,4%,12%,317,174,136,112,29.3,29.9,19.9,10.7,27.1,24.1,16.2,8.0,(22.2 - 32.0),(17.8 - 30.5),(10.0 - 22.4),(3.0 - 13.1),29.7,28.0,19.3,10.8,31.7,29.8,21.4,13.2,8.5,13.8,16.2,25.9,3.2,3.3,2.9,2.6,32.3,25.0,29.6,1/12,8.6,0.0,3.7,0/12,40.7,26.2,40.9,1/9,29,11,4,9,13.8,1/11,1/4,1/9,3.1,3.2,3.3,3.1,4,5,7,24,2/4,1/5,1/7,25.0,0,0,0,0,,,,,3.0,2.8,3.4,3.6
RUSH CENTER FOR ADVANCED REPRODUCTIVE CARE,CHICAGO,CHICAGO,ILLINOIS,Yes,Yes,No,Yes,No,86%,6%,7%,1%,24%,0%,19%,24%,10%,15%,24%,8%,0%,89,45,38,61,29.2,40.0,10.5,0.0,23.6,31.1,5.3,0.0,(14.8 - 32.4),(17.6 - 44.6),(0.0 - 12.4),,26.3,35.0,7.1,0.0,29.6,37.8,8.7,0.0,10.1,11.1,26.3,,4.6,4.8,4.0,3.5,19.2,5/18,0/4,,15.4,3/18,0/4,,19.0,8/14,0/2,,8,1,2,0,0/8,0/1,0/2,,2.9,9.0,1.5,,0,1,0,1,,0/1,,0/1,0,0,0,0,,,,,,2.0,,3.0
UNIVERSITY OF CHICAGO HOSPITALS,CHICAGO,CHICAGO,ILLINOIS,Yes,Yes,Yes,Yes,No,98%,0%,1%,1%,22%,0%,28%,11%,3%,12%,16%,24%,6%,64,29,32,14,26.6,13.8,18.8,1/14,21.9,13.8,6.3,0/14,(11.7 - 32.0),(1.2 - 26.3),(0.0 - 14.6),,24.1,14.8,8.7,0/12,24.6,15.4,10.0,0/11,9.4,6.9,28.1,2/14,4.0,3.7,4.9,4.3,2/17,1/4,2/6,0/1,4/17,1/4,0/6,0/1,4/14,2/4,1/2,,6,4,3,0,1/6,1/4,1/3,,3.8,5.0,2.7,,1,4,2,8,0/1,2/4,0/2,2/8,0,1,1,3,,0/1,0/1,0/3,3.0,3.8,3.7,3.5
MIDWEST FERTILITY CENTER,DOWNERS GROVE,DOWNERS GROVE,ILLINOIS,Yes,Yes,No,Yes,Yes,100%,0%,0%,0%,8%,0%,22%,34%,2%,24%,14%,4%,0%,72,16,18,14,22.2,3/16,4/18,1/14,19.4,1/16,4/18,0/14,(10.3 - 28.6),,,,22.6,1/10,4/15,0/8,27.5,1/8,4/13,0/6,13.9,6/16,3/18,6/14,3.0,1.9,3.5,2.8,3/16,0/3,1/4,0/1,1/16,0/3,0/4,0/1,4/14,0/1,1/4,,2,1,0,0,0/2,0/1,,,2.5,2.0,,,1,1,2,4,0/1,0/1,1/2,0/4,0,0,0,1,,,,0/1,6.0,5.0,2.5,3.2
