PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,IVF_Rate,GIFT_Rate,ZIFT,Combos,ICSI,Unstim,Tubal,Male,Ovulat,Endo,Uterin,Other,Unkno,MDFirst,MDMiddle,Mdlast,MDSuffix,FrCy30,FrCy35,FrCy40,FrCy45,Fr30PgCy,Fr35PgCy,Fr40PgCy,Fr45PgCy,Fr30LvCy,Fr35LvCy,Fr40LvCy,Fr45LvCy,FrLvCr30,FrLvCr35,FrLvCr40,FrLvCr45,FrLvRt30,FrLvRt35,FrLvRt40,FrLvRt45,FrLvTx30,FrLvTx35,FrLvTx40,FrLvTx45,FrCnCy30,FrCnCy35,FrCnCy40,FrCnCy45,FrEmTr30,FrEmTr35,FrEmTr40,FrEmTr45,FrTwGst30,FrTwGst35,FrTwGst40,FrTwGst45,FrTpGst30,FrTpGst35,FrTpGst40,FrTpGst45,FrMbLv30,FrMbLv35,FrMbLv40,FrMbLv45,CrTr30,CrTr35,CrTr40,CrTr45,CrLvTr30,CrLvTr35,CrLvTr40,CrLvTr45,CrEmTr30,CrEmTr35,CrEmTr40,CrEmTr45,FdTr30,FdTr35,FdTr40,FdTr45,FdLvTr30,FdLvTr35,FdLvTr40,FdLvTr45,FdEms30,FdEms35,FdEms40,FdEms45,CdTr30,CdTr35,CdTr40,CdTr45,CdLvTr30,CdLvTr35,CdLvTr40,CdLvTr45,CdEms30,CdEms35,CdEms40,CdEms45,CurrClinName1,CurrClinName2,DonorEgg,DnrEmbryo,Single,Gest,Cryo,SART,Accred
INFERTILITY & IVF CENTER,,ST. LOUIS,MO,89%,0%,9%,2%,34%,0%,28%,22%,32%,5%,1%,6%,6%,Ronald,P.,Wilbois,", M.D.",23,10,13,10,21.7,2/10,0/13,1/10,21.7,2/10,0/13,1/10,(4.9 - 38.6),,,,23.8,2/9,0/7,1/9,5/19,2/8,0/7,1/8,8.7,1/10,6/13,1/10,4.9,4.6,5.1,3.1,1/5,0/2,,0/1,0/5,0/2,,0/1,1/5,0/2,,0/1,4,1,3,4,0/4,0/1,0/3,1/4,2.5,4.0,3.3,3.3,1,0,1,11,0/1,,0/1,1/11,3.0,,5.0,3.6,0,0,1,0,,,0/1,,,,3.0,,Infertility & IVF Center,,Yes,Yes,No,Yes,Yes,Yes,Yes
INFERTILITY CENTER OF ST. LOUIS AT ST. LUKE'S,,ST. LOUIS,MO,33%,18%,49%,0%,64%,0%,7%,62%,8%,0%,0%,4%,19%,Sherman,J.,Silber,", M.D.",138,43,33,33,34.1,23.3,24.2,18.2,29.7,20.9,18.2,9.1,(22.1 - 37.3),(8.8 - 33.1),(5.0 - 31.3),(0.0 - 18.9),31.5,22.5,20.7,9.7,32.8,23.1,21.4,10.3,5.8,7.0,12.1,6.1,4.3,4.8,5.0,6.2,34.0,3/10,4/8,1/6,10.6,1/10,0/8,1/6,41.5,3/9,4/6,1/3,13,6,2,0,3/13,1/6,1/2,,3.0,3.7,2.5,,1,0,6,7,0/1,,3/6,1/7,4.0,,5.0,5.7,0,0,0,0,,,,,,,,,Infertility Center of St. Louis at St. Luke's,,Yes,No,No,Yes,Yes,Yes,Yes
UNIVERSITY OF MISSISSIPPI MEDICAL CENTER,,JACKSON,MS,100%,0%,0%,0%,49%,<1%,31%,22%,9%,27%,3%,8%,0%,Randall,S.,Hines,", M.D.",85,32,18,11,30.6,28.1,3/18,1/11,24.7,25.0,3/18,0/11,(15.5 - 33.9),(10.0 - 40.0),,,26.3,27.6,3/17,0/7,28.0,34.8,3/14,0/5,5.9,9.4,1/18,4/11,2.9,2.9,2.6,2.4,26.9,3/9,0/3,0/1,3.8,0/9,0/3,0/1,33.3,2/8,0/3,,10,6,1,0,1/10,2/6,0/1,,2.8,2.7,4.0,,0,2,2,3,,0/2,2/2,1/3,,2.5,4.0,3.0,0,0,0,1,,,,0/1,,,,3.0,University of Mississippi Medical Center,,Yes,No,No,No,Yes,Yes,Pending
NORTH CAROLINA CENTER FOR REPRODUCTIVE MEDICINE,THE TALBERT FERTILITY INSTITUTE,CARY,NC,100%,0%,0%,0%,43%,0%,22%,15%,23%,15%,3%,13%,9%,Luther,M.,Talbert,", M.D.",66,21,20,6,40.9,52.4,50.0,0/6,37.9,47.6,30.0,0/6,(26.2 - 49.6),(26.3 - 69.0),(9.9 - 50.1),,39.1,10/19,6/19,0/4,39.7,10/18,6/15,0/4,3.0,9.5,5.0,2/6,4.0,4.1,4.8,4.8,44.4,3/11,1/10,,11.1,2/11,0/10,,52.0,5/10,1/6,,5,3,0,4,1/5,0/3,,1/4,3.6,2.7,,4.3,1,3,5,13,1/1,2/3,1/5,4/13,5.0,5.0,4.2,4.1,0,0,1,1,,,0/1,1/1,,,5.0,6.0,"North Carolina Center for Reproductive Medicine, The Talbert Fertility Institute",,Yes,Yes,Yes,Yes,Yes,Yes,Yes
UNIVERSITY OF NORTH CAROLINA ART CLINIC,,CHAPEL HILL,NC,100%,0%,0%,0%,43%,0%,23%,28%,26%,8%,1%,4%,10%,William,R.,Meyer,", M.D.",65,36,27,10,29.2,22.2,18.5,0/10,26.2,16.7,7.4,0/10,(15.5 - 36.8),(4.5 - 28.8),(0.0 - 17.3),,28.8,25.0,9.5,0/7,29.8,26.1,10.0,0/7,9.2,33.3,22.2,3/10,3.1,3.6,3.9,4.3,8/19,4/8,1/5,,2/19,2/8,1/5,,8/17,3/6,2/2,,7,4,5,1,0/7,2/4,0/5,0/1,3.0,2.5,2.6,4.0,2,2,2,4,1/2,1/2,0/2,1/4,4.5,4.0,4.0,3.3,0,0,1,1,,,0/1,0/1,,,1.0,1.0,University of North Carolina ART Clinic,,Yes,No,Yes,Yes,Yes,Yes,Yes
INSTITUTE FOR ASSISTED REPRODUCTION,,CHARLOTTE,NC,100%,0%,0%,0%,50%,0%,25%,29%,12%,16%,1%,5%,12%,Jack,,Crain,", M.D.",157,57,36,9,53.5,38.6,27.8,2/9,47.8,35.1,19.4,2/9,(40.0 - 55.6),(22.7 - 47.5),(6.5 - 32.4),,53.6,47.6,7/18,2/5,56.4,48.8,7/18,2/5,10.8,26.3,50.0,4/9,3.7,4.6,4.9,7.0,31.0,18.2,1/10,1/2,20.2,27.3,2/10,0/2,52.0,50.0,2/7,1/2,16,1,0,0,6/16,0/1,,,3.7,3.0,,,4,3,2,4,4/4,1/3,0/2,2/4,3.8,3.0,3.5,4.0,1,0,3,2,0/1,,0/3,0/2,4.0,,3.3,4.0,Institute for Assisted Reproduction,,Yes,No,Yes,Yes,Yes,Yes,Yes
PROGRAM FOR ASSISTED REPRODUCTION,CAROLINAS MEDICAL CENTER,CHARLOTTE,NC,100%,0%,0%,0%,26%,0%,30%,21%,21%,19%,0%,3%,6%,Paul,B.,Marshburn,", M.D.",50,21,9,4,58.0,23.8,0/9,0/4,52.0,19.0,0/9,0/4,(38.2 - 65.8),(2.3 - 35.8),,,60.5,4/12,0/3,0/3,60.5,4/12,0/3,0/3,14.0,42.9,6/9,1/4,3.4,3.8,3.0,4.3,27.6,3/5,,,13.8,0/5,,,38.5,2/4,,,2,2,0,0,1/2,0/2,,,4.5,3.5,,,0,0,0,0,,,,,,,,,0,1,1,0,,0/1,0/1,,,4.0,2.0,,"Program for Assisted Reproduction, Carolinas Medical Center",,No,No,Yes,No,Yes,Yes,Pending
DUKE UNIVERSITY MEDICAL CENTER,DIVISION OF REPRODUCTIVE ENDOCRINOLOGY AND INFERTILITY,DURHAM,NC,100%,0%,0%,0%,33%,0%,22%,19%,22%,16%,2%,3%,16%,David,K.,Walmer,", M.D., Ph.D.",112,51,43,9,22.3,21.6,14.0,1/9,17.0,13.7,7.0,1/9,(10.0 - 23.9),(4.3 - 23.2),(0.0 - 14.6),,18.4,15.2,9.4,1/8,19.8,17.5,12.0,1/7,8.0,9.8,25.6,1/9,2.1,2.1,3.0,3.9,32.0,1/11,0/6,0/1,0.0,0/11,0/6,0/1,7/19,0/7,0/3,0/1,10,3,6,4,0/10,0/3,0/6,0/4,2.5,2.0,2.5,3.3,4,2,3,21,2/4,0/2,0/3,28.6,1.8,2.0,2.0,2.0,0,1,1,5,,0/1,1/1,1/5,,2.0,3.0,3.0,"Duke University Medical Center, Division of Reproductive Endocrinology and Infertility",,Yes,Yes,Yes,No,Yes,Yes,Yes
EAST CAROLINA UNIVERSITY,WOMENS PHYSICIANS,GREENVILLE,NC,96%,2%,2%,0%,43%,0%,25%,26%,34%,8%,1%,0%,6%,Clifford,C.,Hayslip,", M.D.",33,13,15,0,33.3,3/13,3/15,,33.3,3/13,3/15,,(17.2 - 49.4),,,,36.7,3/12,3/12,,39.3,3/12,3/12,,9.1,1/13,3/15,,3.3,3.8,3.3,,3/11,2/3,2/3,,1/11,0/3,0/3,,4/11,2/3,2/3,,7,1,1,0,2/7,0/1,0/1,,3.9,2.0,4.0,,0,0,2,1,,,1/2,0/1,,,3.5,4.0,0,0,0,0,,,,,,,,,East Carolina University Women's Physicians,,Yes,No,No,No,Yes,Yes,Yes
WAKE FOREST UNIVERSITY PROGRAM FOR ASSISTED REPRODUCTION,,WINSTON-SALEM,NC,100%,0%,0%,0%,35%,0%,46%,21%,9%,19%,0%,0%,5%,Jeffrey,L.,Deaton,", M.D.",34,15,12,1,32.4,5/15,2/12,1/1,26.5,4/15,2/12,1/1,(11.6 - 41.3),,,,27.3,4/14,2/7,1/1,28.1,4/13,2/6,1/1,2.9,1/15,5/12,0/1,3.1,3.2,3.7,2.0,1/11,0/5,0/2,0/1,2/11,0/5,0/2,0/1,3/9,0/4,0/2,0/1,16,3,3,1,2/16,1/3,0/3,1/1,2.6,3.3,3.7,3.0,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,Wake Forest University Program for Assisted Reproduction,,No,Yes,No,No,Yes,Yes,Yes
MERITCARE MEDICAL GROUP FERTILITY CENTER,,FARGO,ND,100%,0%,0%,0%,42%,0%,29%,7%,52%,10%,0%,2%,0%,Steffen,P.,Christensen,", M.D.",21,4,5,6,14.3,2/4,1/5,1/6,14.3,2/4,1/5,0/6,(0.0 - 29.3),,,,3/14,2/3,1/4,0/3,3/13,2/3,1/3,0/3,33.3,1/4,1/5,3/6,3.6,4.0,4.7,2.0,1/3,1/2,0/1,0/1,0/3,0/2,0/1,0/1,1/3,1/2,0/1,,3,0,0,0,0/3,,,,1.7,,,,0,0,0,1,,,,0/1,,,,4.0,0,0,0,0,,,,,,,,,MeritCare Medical Group Fertility Center,,No,No,Yes,No,Yes,Yes,Pending
CENTER FOR REPRODUCTIVE MEDICINE,,OMAHA,NE,76%,0%,24%,0%,48%,0%,22%,35%,20%,15%,2%,4%,2%,Victoria,M.,Maclin,", M.D.",95,35,21,10,32.6,28.6,19.0,0/10,27.4,22.9,19.0,0/10,(18.4 - 36.3),(8.9 - 36.8),(2.3 - 35.8),,31.3,25.8,4/18,0/7,32.5,28.6,4/14,0/5,12.6,11.4,14.3,3/10,3.2,3.2,2.5,2.0,41.9,1/10,0/4,,6.5,0/10,1/4,,53.8,1/8,1/4,,32,12,4,5,18.8,0/12,1/4,1/5,4.6,4.0,3.3,3.2,0,1,1,7,,1/1,0/1,3/7,,3.0,3.0,3.1,0,0,0,5,,,,2/5,,,,5.0,Center for Reproductive Medicine,,Yes,No,Yes,Yes,Yes,Yes,Yes
REPRODUCTIVE ENDOCRINOLOGY/INFERTILITY,,OMAHA,NE,62%,2%,35%,<1%,31%,0%,40%,9%,18%,22%,3%,7%,<1%,Carolyn,M.,Doherty,", M.D.",168,70,37,24,38.1,32.9,29.7,20.8,34.5,25.7,16.2,12.5,(27.3 - 41.7),(15.5 - 36.0),(4.3 - 28.1),(0.0 - 25.7),37.4,28.6,24.0,3/18,38.4,29.5,24.0,3/16,7.7,10.0,32.4,25.0,4.2,4.4,5.1,3.8,35.9,13.0,2/11,1/5,18.8,26.1,1/11,0/5,46.6,9/18,3/6,1/3,24,7,2,0,12.5,1/7,0/2,,4.3,3.7,5.5,,3,4,10,17,1/3,0/4,0/10,5/17,5.3,5.5,5.4,4.8,0,0,1,0,,,0/1,,,,3.0,,Reproductive Endocrinology/Infertility,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
DARTMOUTH-HITCHCOCK MEDICAL CENTER,,LEBANON,NH,89%,11%,0%,0%,15%,0%,44%,13%,8%,7%,2%,18%,8%,Paul,D.,Manganiello,", M.D.",34,13,6,1,29.4,4/13,1/6,0/1,29.4,3/13,1/6,0/1,(14.1 - 44.7),,,,32.3,3/9,1/5,,34.5,3/9,1/5,,8.8,4/13,1/6,1/1,3.5,3.7,3.8,,2/10,0/4,0/1,,0/10,0/4,0/1,,2/10,0/3,0/1,,5,1,2,0,3/5,0/1,0/2,,3.2,3.0,3.5,,2,0,2,0,0/2,,0/2,,3.5,,3.5,,0,0,0,0,,,,,,,,,Dartmouth-Hitchcock Medical Center,,Yes,Yes,Yes,Yes,Yes,Yes,Yes
SHORE INSTITUTE FOR REPRODUCTIVE MEDICINE,,BRICK,NJ,100%,0%,0%,0%,46%,0%,44%,19%,25%,6%,0%,0%,6%,Allen,,Morgan,", M.D.",10,3,0,0,6/10,1/3,,,6/10,1/3,,,,,,,6/9,1/3,,,6/9,1/2,,,1/10,0/3,,,2.7,2.5,,,2/6,1/1,,,2/6,0/1,,,4/6,0/1,,,2,0,0,0,0/2,,,,3.0,,,,0,0,0,1,,,,0/1,,,,2.0,0,0,0,0,,,,,,,,,Shore Institute for Reproductive Medicine,,Yes,No,Yes,No,Yes,Yes,Pending
"REPRODUCTIVE GYNECOLOGISTS, P.C.",,CHERRY HILL,NJ,97%,3%,0%,0%,26%,0%,33%,38%,7%,14%,0%,3%,5%,David,N.,Goldberg,", D.O.",42,16,15,4,26.2,4/16,2/15,0/4,23.8,4/16,2/15,0/4,(10.9 - 36.7),,,,30.3,4/12,2/5,0/3,32.3,4/12,2/4,0/3,21.4,4/16,10/15,1/4,3.3,3.8,3.8,3.0,3/11,1/4,0/2,,1/11,1/4,0/2,,3/10,2/4,0/2,,13,3,0,0,2/13,0/3,,,2.9,4.0,,,0,0,0,0,,,,,,,,,1,0,0,0,0/1,,,,2.0,,,,"Reproductive Gynecologists, P.C.",,Yes,No,Yes,Yes,Yes,Yes,Pending
CENTER FOR ADVANCED REPRODUCTIVE MEDICINE & FERTILITY,,EDISON,NJ,100%,0%,0%,0%,39%,0%,24%,23%,12%,11%,8%,6%,16%,Gregory,H.,Corsan,", M.D.",51,26,11,2,35.3,23.1,3/11,0/2,25.5,19.2,2/11,0/2,(13.5 - 37.5),(4.1 - 34.4),,,28.3,5/19,2/9,0/1,32.5,5/17,2/8,0/1,9.8,26.9,2/11,1/2,2.6,3.4,3.0,2.0,1/18,3/6,2/3,,3/18,0/6,0/3,,3/13,2/5,1/2,,7,5,2,0,1/7,0/5,0/2,,3.3,4.0,2.0,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,Center for Advanced Reproductive Medicine & Fertility,,Yes,Yes,Yes,No,Yes,Yes,Yes
NORTH HUDSON IVF,CENTER FOR FERTILITY AND GYNECOLOGY,ENGLEWOOD CLIFFS,NJ,100%,0%,0%,0%,40%,0%,8%,26%,30%,19%,7%,0%,10%,Jane,E.,Miller,", M.D.",35,11,13,1,14.3,0/11,1/13,0/1,11.4,0/11,1/13,0/1,(0.9 - 22.0),,,,12.5,0/11,1/13,0/1,17.4,0/10,1/13,0/1,8.6,0/11,0/13,0/1,4.4,4.5,4.1,3.0,1/5,,0/1,,0/5,,0/1,,1/4,,0/1,,0,0,0,0,,,,,,,,,1,3,2,4,0/1,2/3,0/2,1/4,5.0,4.0,5.0,4.3,0,0,0,0,,,,,,,,,North Hudson IVF Center for Fertility and Gynecology,,Yes,Yes,Yes,No,Yes,Yes,No
"IVF OF NORTH JERSEY, P.A.",,FAIRLAWN,NJ,100%,0%,0%,0%,30%,0%,21%,7%,13%,14%,10%,31%,4%,Mark,X.,Ransom,", M.D.",42,22,15,7,23.8,27.3,2/15,1/7,21.4,22.7,2/15,0/7,(9.0 - 33.8),(5.2 - 40.2),,,24.3,5/18,2/12,0/4,24.3,5/17,2/11,0/4,11.9,18.2,3/15,3/7,4.2,3.8,4.2,2.8,1/10,2/6,0/2,0/1,4/10,0/6,0/2,0/1,2/9,2/5,0/2,,1,1,0,0,0/1,0/1,,,2.0,3.0,,,0,0,1,6,,,1/1,2/6,,,4.0,4.8,0,0,0,0,,,,,,,,,"IVF of North Jersey, P.A.",,Yes,No,Yes,No,Yes,Yes,Yes
CENTER FOR REPRODUCTIVE MEDICINE,AT HACKENSACK UNIVERSITY MEDICAL CENTER,HASBROUCK HEIGHTS,NJ,99%,0%,0%,<1%,58%,0%,33%,36%,10%,7%,0%,<1%,13%,Jose,M.,Colon,", M.D.",70,30,32,0,44.3,43.3,25.0,,42.9,26.7,25.0,,(31.3 - 54.5),(10.8 - 42.5),(10.0 - 40.0),,47.6,33.3,32.0,,48.4,33.3,33.3,,10.0,20.0,21.9,,3.9,4.8,4.7,,38.7,3/13,3/8,,9.7,0/13,1/8,,43.3,3/8,2/8,,6,7,4,0,1/6,2/7,0/4,,3.3,4.4,3.3,,1,1,0,1,1/1,0/1,,0/1,3.0,4.0,,1.0,0,0,0,0,,,,,,,,,Center for Reproductive Medicine at Hackensack University Medical Center,,Yes,No,Yes,No,Yes,Yes,Yes
PRINCETON CENTER FOR INFERTILITY & REPRODUCTIVE MEDICINE,,LAWRENCEVILLE,NJ,100%,0%,0%,0%,40%,0%,31%,29%,7%,2%,2%,4%,25%,Althea,M.,O'Shaughnessy,", M.D.",20,14,8,8,50.0,5/14,1/8,2/8,40.0,4/14,1/8,1/8,(18.5 - 61.5),,,,8/19,4/11,1/6,1/5,8/15,4/9,1/3,1/5,5.0,3/14,2/8,3/8,3.2,3.7,3.0,4.0,2/10,1/5,0/1,0/2,1/10,1/5,0/1,0/2,1/8,2/4,0/1,0/1,19,5,3,2,9/19,2/5,1/3,0/2,3.4,4.4,4.0,2.5,1,3,0,1,0/1,0/3,,0/1,3.0,4.0,,3.0,0,0,0,1,,,,1/1,,,,3.0,Princeton Center for Infertility & Reproductive Medicine,,Yes,No,Yes,Yes,Yes,Yes,Pending
"EAST COAST INFERTILITY AND IVF, P.C.",,LITTLE SILVER,NJ,100%,0%,0%,0%,36%,0%,32%,24%,9%,29%,4%,2%,0%,Miguel,,Damien,", M.D.",53,33,35,21,41.5,48.5,31.4,23.8,35.8,39.4,25.7,9.5,(22.9 - 48.8),(22.7 - 56.1),(11.2 - 40.2),(0.0 - 22.1),40.4,41.9,34.6,2/15,41.3,43.3,34.6,2/15,11.3,6.1,25.7,28.6,3.9,4.2,4.3,4.6,40.9,4/16,1/11,0/5,31.8,0/16,2/11,0/5,12/19,3/13,3/9,0/2,6,3,5,0,2/6,1/3,2/5,,3.5,3.7,3.2,,0,0,0,1,,,,0/1,,,,3.0,0,0,0,2,,,,0/2,,,,4.0,"East Coast Infertility and IVF, P.C.",,No,No,Yes,No,Yes,Yes,Pending
THE INSTITUTE FOR REPRODUCTIVE MEDICINE AND SCIENCE,SAINT BARNABAS MEDICAL CENTER,LIVINGSTON,NJ,100%,0%,0%,0%,38%,0%,17%,22%,33%,12%,3%,4%,9%,Margaret,G.,Garrisi,", M.D.",522,319,261,102,60.5,53.9,39.1,30.4,51.9,44.5,29.5,20.6,(47.6 - 56.2),(39.1 - 50.0),(24.0 - 35.0),(12.7 - 28.4),55.4,51.8,35.6,25.9,58.4,53.8,38.3,26.6,6.3,14.1,17.2,20.6,2.8,3.3,3.5,3.7,29.7,27.9,24.5,19.4,13.6,18.0,8.8,3.2,39.9,45.8,28.6,19.0,59,27,23,4,49.2,37.0,43.5,3/4,2.8,2.7,3.2,4.0,19,30,46,96,13/19,60.0,50.0,55.2,2.3,2.8,2.6,2.5,3,1,6,12,1/3,1/1,3/6,3/12,3.0,2.0,2.7,2.6,"The Institute for Reproductive Medicine and Science, Saint Barnabas Medical Center",,Yes,No,Yes,Yes,Yes,Yes,Yes
"COOPER CENTER FOR IVF, P.C.",,MARLTON,NJ,97%,0%,0%,3%,37%,5%,26%,24%,13%,7%,2%,26%,2%,Jerome,H.,Check,", M.D., Ph.D.",292,145,169,232,28.4,21.4,19.5,12.1,26.4,18.6,13.0,8.2,(21.3 - 31.4),(12.3 - 25.0),(7.9 - 18.1),(4.7 - 11.7),30.7,22.5,17.1,12.0,45.8,32.5,25.6,21.8,14.0,17.2,23.7,31.9,3.2,3.5,3.5,3.5,28.9,22.6,27.3,14.3,12.0,12.9,3.0,10.7,32.5,37.0,27.3,5/19,140,52,50,36,38.6,30.8,32.0,13.9,3.3,3.3,3.5,3.6,6,4,1,23,2/6,2/4,0/1,56.5,3.7,3.8,2.0,3.7,8,6,6,30,3/8,2/6,3/6,20.0,3.5,2.8,3.8,3.5,"Cooper Center for IVF, P.C.",,Yes,Yes,Yes,Yes,Yes,Yes,Yes
DELAWARE VALLEY INSTITUTE OF FERTILITY AND GENETICS,,MARLTON,NJ,100%,0%,0%,0%,30%,0%,40%,22%,19%,13%,0%,3%,3%,George,S.,Taliadouros,", M.D.",14,6,4,3,2/14,0/6,1/4,0/3,2/14,0/6,0/4,0/3,,,,,2/10,0/5,0/4,0/3,2/7,0/4,0/4,0/3,4/14,1/6,0/4,0/3,4.6,3.8,3.5,3.7,1/2,,0/1,,0/2,,0/1,,1/2,,,,2,3,0,0,0/2,0/3,,,3.0,3.7,,,0,0,0,0,,,,,,,,,0,0,0,0,,,,,,,,,Delaware Valley Institute of Fertility and Genetics,,Yes,No,Yes,No,Yes,Yes,Yes
"SOUTH JERSEY FERTILITY CENTER, P.A.",,MARLTON,NJ,97%,2%,<1%,0%,43%,0%,45%,29%,5%,7%,2%,2%,10%,Robert,A.,Skaf,", M.D.",101,40,32,14,34.7,42.5,21.9,1/14,28.7,37.5,15.6,1/14,(19.9 - 37.5),(22.5 - 52.5),(3.0 - 28.2),,30.9,41.7,18.5,1/12,30.9,41.7,18.5,1/11,6.9,10.0,15.6,2/14,2.6,3.5,3.8,4.6,37.1,6/17,1/7,0/1,2.9,2/17,0/7,0/1,44.8,7/15,0/5,0/1,23,11,3,4,17.4,2/11,1/3,0/4,3.0,3.6,4.7,3.3,0,0,1,1,,,1/1,1/1,,,3.0,3.0,0,0,0,0,,,,,,,,,"South Jersey Fertility Center, P.A.",,Yes,No,Yes,Yes,Yes,Yes,Yes
DIAMOND INSTITUTE FOR INFERTILITY,,MILLBURN,NJ,100%,0%,0%,0%,61%,0%,30%,24%,19%,17%,4%,2%,4%,Matan,,Yemini,", M.D.",103,39,57,52,32.0,28.2,14.0,11.5,26.2,20.5,10.5,7.7,(17.7 - 34.7),(7.8 - 33.2),(2.6 - 18.5),(0.4 - 14.9),29.3,22.2,14.3,11.4,29.7,22.2,15.0,11.8,10.7,7.7,26.3,32.7,4.7,4.8,3.9,4.0,21.2,1/11,3/8,0/6,18.2,0/11,1/8,0/6,40.7,1/8,3/6,0/4,11,2,1,4,1/11,0/2,0/1,0/4,4.2,2.5,1.0,3.3,0,8,3,16,,4/8,0/3,3/16,,4.6,4.3,4.6,0,0,0,2,,,,0/2,,,,4.0,Diamond Institute for Infertility,,Yes,Yes,Yes,No,Yes,Yes,Yes
ROBERT WOOD JOHNSON MEDICAL SCHOOL,IVF PROGRAM,NEW BRUNSWICK,NJ,98%,2%,0%,0%,37%,0%,16%,35%,17%,15%,7%,10%,0%,Michael,K.,Bohrer,", M.D.",169,68,43,26,27.8,26.5,23.3,19.2,26.0,26.5,18.6,19.2,(19.4 - 32.7),(16.0 - 37.0),(7.0 - 30.2),(4.1 - 34.4),31.2,32.7,24.2,5/19,32.6,33.3,26.7,5/18,16.6,19.1,23.3,26.9,2.9,3.4,4.2,6.0,42.6,6/18,5/10,0/5,6.4,2/18,1/10,1/5,45.5,8/18,5/8,0/5,67,23,15,5,9.0,13.0,3/15,1/5,2.7,2.6,2.4,2.6,2,1,3,6,1/2,1/1,2/3,3/6,2.5,2.0,2.3,3.0,0,1,0,1,,0/1,,1/1,,3.0,,4.0,Robert Wood Johnson Medical School IVF Program,,Yes,Yes,Yes,No,Yes,Yes,Pending
IVF NEW JERSEY,,SOMERSET,NJ,100%,0%,0%,0%,33%,0%,17%,11%,12%,11%,5%,43%,<1%,Michael,C.,Darder,", M.D.",66,28,31,16,43.9,35.7,41.9,2/16,42.4,25.0,22.6,0/16,(30.5 - 54.3),(9.0 - 41.0),(7.9 - 37.3),,45.9,28.0,25.9,0/13,45.9,28.0,26.9,0/12,7.6,10.7,12.9,3/16,3.8,3.4,4.4,4.6,34.5,2/10,1/13,0/2,13.8,2/10,1/13,0/2,42.9,4/7,1/7,,3,3,3,2,0/3,1/3,1/3,0/2,2.0,2.7,3.7,4.0,8,10,10,50,7/8,7/10,6/10,60.0,3.1,3.3,3.4,3.4,0,1,0,7,,0/1,,2/7,,3.0,,3.3,IVF New Jersey,,Yes,Yes,Yes,No,Yes,Yes,Yes
CENTER FOR HUMAN REPRODUCTION OF NEW JERSEY,,WESTWOOD,NJ,100%,0%,0%,0%,48%,0%,19%,13%,41%,5%,19%,3%,0%,Daniel,,Navot,", M.D.",46,34,14,11,47.8,32.4,4/14,2/11,39.1,29.4,1/14,1/11,(25.0 - 53.2),(14.1 - 44.7),,,42.9,34.5,1/12,1/9,47.4,34.5,1/11,1/9,8.7,14.7,2/14,2/11,3.1,3.3,3.8,4.0,40.9,3/11,1/4,0/2,13.6,1/11,0/4,0/2,10/18,2/10,1/1,0/1,12,8,2,0,5/12,1/8,1/2,,3.1,3.3,3.0,,2,3,3,9,0/2,0/3,1/3,2/9,3.0,3.3,3.7,3.2,3,1,2,5,1/3,0/1,1/2,0/5,2.7,4.0,2.0,3.2,Fertility Institute of New Jersey & New York,,Yes,No,Yes,Yes,Yes,Yes,Pending
CENTER FOR REPRODUCTIVE MEDICINE OF NEW MEXICO,,ALBUQUERQUE,NM,100%,0%,0%,0%,32%,<1%,27%,27%,19%,18%,2%,0%,7%,Douglas,J.,Thompson,", M.D.",53,24,26,6,60.4,54.2,38.5,0/6,54.7,50.0,30.8,0/6,(41.3 - 68.1),(30.0 - 70.0),(13.0 - 48.5),,58.0,12/19,40.0,0/4,60.4,12/18,40.0,0/4,5.7,20.8,23.1,2/6,2.5,2.4,2.8,2.8,46.9,4/13,3/10,,6.3,0/13,2/10,,51.7,4/12,2/8,,10,2,6,3,5/10,1/2,1/6,0/3,3.1,2.0,2.3,3.3,0,3,4,9,,2/3,4/4,4/9,,2.3,2.3,2.4,0,0,0,5,,,,2/5,,,,2.8,Center for Reproductive Medicine of New Mexico,,Yes,Yes,Yes,No,Yes,Yes,Yes
SOUTHWEST FERTILITY SERVICES,,ALBUQUERQUE,NM,100%,0%,0%,0%,42%,0%,27%,26%,6%,20%,0%,18%,3%,Norman,A.,Assad,", M.D.",20,13,12,7,40.0,2/13,2/12,0/7,40.0,2/13,1/12,0/7,(18.5 - 61.5),,,,8/18,2/9,1/11,0/7,8/18,2/9,1/8,0/6,10.0,4/13,1/12,0/7,2.9,3.8,3.5,3.8,3/8,0/2,0/2,,2/8,0/2,0/2,,5/8,0/2,0/1,,2,1,1,1,0/2,0/1,0/1,0/1,6.0,4.0,1.0,1.0,0,1,2,2,,0/1,0/2,1/2,,3.0,3.5,3.0,0,0,0,2,,,,0/2,,,,3.0,Southwest Fertility Services,,Yes,No,Yes,No,Yes,Yes,Yes
